Unit,Product,BALANCE,Country,Time,Value
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,10-Dec,406
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,11-Jan,427
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,11-Feb,436
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,11-Mar,428
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,11-Apr,458
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,11-May,455
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,11-Jun,454
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,11-Jul,472
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,11-Aug,407
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,11-Sep,457
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,11-Oct,440
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,11-Nov,486
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,11-Dec,439
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,12-Jan,459
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,12-Feb,499
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,12-Mar,474
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,12-Apr,479
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,12-May,466
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,12-Jun,500
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,12-Jul,470
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,12-Aug,479
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,12-Sep,488
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,12-Oct,493
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,12-Nov,496
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,12-Dec,491
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,13-Jan,521
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,13-Feb,512
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,13-Mar,517
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,13-Apr,525
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,13-May,489
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,13-Jun,534
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,13-Jul,493
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,13-Aug,441
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,13-Sep,510
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,13-Oct,508
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,13-Nov,501
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,13-Dec,516
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,14-Jan,515
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,14-Feb,542
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,14-Mar,540
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,14-Apr,525
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,14-May,511
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,14-Jun,567
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,14-Jul,467
